"id","category","de","en","context","limit","status","note"
"building.A_KONTOR.tier1.eff","building","Sieg +65 Score (Stufe IV: bei Crit ×2 Direkt-Score)","win +65 score (tier IV: ×2 direct score on a crit)","Architekt-Gebäude „Kontor"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_KONTOR.tier2.eff","building","Sieg +98 Score (Stufe IV: bei Crit ×2 Direkt-Score)","win +98 score (tier IV: ×2 direct score on a crit)","Architekt-Gebäude „Kontor"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_KONTOR.tier3.eff","building","Sieg +143 Score (Stufe IV: bei Crit ×2 Direkt-Score)","win +143 score (tier IV: ×2 direct score on a crit)","Architekt-Gebäude „Kontor"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_KONTOR.tier4.eff","building","Sieg +202 Score · bei Crit ×2 Direkt-Score","win +202 score · ×2 direct score on a crit","Architekt-Gebäude „Kontor"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_KREUZGANG.tier1.eff","building","Treppen-Bindeglied: Karte darf im Wert um ±1 abweichen","stair link: the card may differ in value by ±1","Architekt-Gebäude „Kreuzgang"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_KREUZGANG.tier3.eff","building","Treppen-Bindeglied: Karte darf im Wert um ±2 abweichen","stair link: the card may differ in value by ±2","Architekt-Gebäude „Kreuzgang"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LAUFGANG.tier1.eff","building","reicht +50 Score ans Feld rechts weiter","passes +50 score on to the cell to the right","Architekt-Gebäude „Laufgang"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LAUFGANG.tier2.eff","building","reicht +75 Score ans Feld rechts weiter","passes +75 score on to the cell to the right","Architekt-Gebäude „Laufgang"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LAUFGANG.tier3.eff","building","reicht +110 Score ans Feld rechts weiter","passes +110 score on to the cell to the right","Architekt-Gebäude „Laufgang"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LAUFGANG.tier4.eff","building","reicht +155 Score ans Feld rechts weiter","passes +155 score on to the cell to the right","Architekt-Gebäude „Laufgang"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LEUCHTTURM.legendary.eff","building","strahlt +100 Score in beide Nachbarfelder","radiates +100 score into both neighbouring cells","Architekt-Gebäude „Leuchtturm"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LOSBUDE.tier1.eff","building","Crit-Sieg +90 Score · Sieg ohne Crit −15 Score","crit win +90 score · win without a crit −15 score","Architekt-Gebäude „Losbude"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LOSBUDE.tier2.eff","building","Crit-Sieg +135 Score · Sieg ohne Crit −15 Score","crit win +135 score · win without a crit −15 score","Architekt-Gebäude „Losbude"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LOSBUDE.tier3.eff","building","Crit-Sieg +198 Score · Sieg ohne Crit −15 Score","crit win +198 score · win without a crit −15 score","Architekt-Gebäude „Losbude"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_LOSBUDE.tier4.eff","building","Crit-Sieg +279 Score · Sieg ohne Crit −15 Score","crit win +279 score · win without a crit −15 score","Architekt-Gebäude „Losbude"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_MARKT.tier1.eff","building","Sieg +20 Score je Nachbargebäude (max 4)","win +20 score per adjacent building (max 4)","Architekt-Gebäude „Marktplatz"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_MARKT.tier2.eff","building","Sieg +30 Score je Nachbargebäude (max 4)","win +30 score per adjacent building (max 4)","Architekt-Gebäude „Marktplatz"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_MARKT.tier3.eff","building","Sieg +44 Score je Nachbargebäude (max 4)","win +44 score per adjacent building (max 4)","Architekt-Gebäude „Marktplatz"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_MARKT.tier4.eff","building","Sieg +62 Score je Nachbargebäude (max 4)","win +62 score per adjacent building (max 4)","Architekt-Gebäude „Marktplatz"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_MEILENSTEIN.tier1.eff","building","jeder 5. Sieg auf diesem Gebäude +200 Score","every 5th win on this building +200 score","Architekt-Gebäude „Meilenstein"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_MEILENSTEIN.tier2.eff","building","jeder 5. Sieg auf diesem Gebäude +300 Score","every 5th win on this building +300 score","Architekt-Gebäude „Meilenstein"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_MEILENSTEIN.tier3.eff","building","jeder 5. Sieg auf diesem Gebäude +440 Score","every 5th win on this building +440 score","Architekt-Gebäude „Meilenstein"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_MEILENSTEIN.tier4.eff","building","jeder 3. Sieg auf diesem Gebäude +620 Score","every 3th win on this building +620 score","Architekt-Gebäude „Meilenstein"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_PRISMA.legendary.eff","building","Formations-Joker (Wiederholung/Farbblock/Treppe/Wechsel)","formation wild (Repeat/Suit block/Stair/Zigzag)","Architekt-Gebäude „Prisma"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_PRUNKSAAL.legendary.eff","building","Sieg +300 Score","win +300 score","Architekt-Gebäude „Prunksaal"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_QUADER.tier1.eff","building","alle Abgedeckten +2 Stichwert","all covered cards +2 trick value","Architekt-Gebäude „Quader"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_QUADER.tier2.eff","building","alle Abgedeckten +3 Stichwert","all covered cards +3 trick value","Architekt-Gebäude „Quader"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_QUADER.tier3.eff","building","alle Abgedeckten +4 Stichwert","all covered cards +4 trick value","Architekt-Gebäude „Quader"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_QUADER.tier4.eff","building","alle Abgedeckten +6 Stichwert","all covered cards +6 trick value","Architekt-Gebäude „Quader"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_RAMPE.tier1.eff","building","niedrige Karten +2 Stichwert","low cards +2 trick value","Architekt-Gebäude „Rampe"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_RAMPE.tier2.eff","building","niedrige Karten +3 Stichwert","low cards +3 trick value","Architekt-Gebäude „Rampe"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_RAMPE.tier3.eff","building","niedrige Karten +4 Stichwert","low cards +4 trick value","Architekt-Gebäude „Rampe"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_RAMPE.tier4.eff","building","niedrige Karten +6 Stichwert","low cards +6 trick value","Architekt-Gebäude „Rampe"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_RATHAUS.legendary.eff","building","Sieg +45 Score je Nachbargebäude (max 6)","win +45 score per adjacent building (max 6)","Architekt-Gebäude „Rathaus"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_REIHENHAUS.tier1.eff","building","Sieg +9 Score je Serienpunkt (max 50) (Stufe III: ab Serie 4 doppelt)","win +9 score per streak point (max 50) (tier III: double from streak 4)","Architekt-Gebäude „Reihenhaus"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_REIHENHAUS.tier2.eff","building","Sieg +14 Score je Serienpunkt (max 50) (Stufe III: ab Serie 4 doppelt)","win +14 score per streak point (max 50) (tier III: double from streak 4)","Architekt-Gebäude „Reihenhaus"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_REIHENHAUS.tier3.eff","building","Sieg +20 Score je Serienpunkt (max 50) · ab Serie 4 doppelt","win +20 score per streak point (max 50) · double from streak 4","Architekt-Gebäude „Reihenhaus"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_REIHENHAUS.tier4.eff","building","Sieg +28 Score je Serienpunkt (max 50) · ab Serie 4 doppelt","win +28 score per streak point (max 50) · double from streak 4","Architekt-Gebäude „Reihenhaus"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_RIEGEL.tier1.eff","building","alle Abgedeckten +1 Stichwert","all covered cards +1 trick value","Architekt-Gebäude „Riegel"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_RIEGEL.tier2.eff","building","alle Abgedeckten +2 Stichwert","all covered cards +2 trick value","Architekt-Gebäude „Riegel"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_RIEGEL.tier4.eff","building","alle Abgedeckten +3 Stichwert","all covered cards +3 trick value","Architekt-Gebäude „Riegel"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SCHATZ.legendary.eff","building","Siege hier ×1,30 Score","wins here ×1.30 score","Architekt-Gebäude „Schatzkammer"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SOCKEL.tier1.eff","building","niedrigste Karte +3 Stichwert","lowest card +3 trick value","Architekt-Gebäude „Sockel"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SOCKEL.tier2.eff","building","niedrigste Karte +5 Stichwert","lowest card +5 trick value","Architekt-Gebäude „Sockel"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SOCKEL.tier3.eff","building","niedrigste Karte +7 Stichwert","lowest card +7 trick value","Architekt-Gebäude „Sockel"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SOCKEL.tier4.eff","building","niedrigste Karte +9 Stichwert","lowest card +9 trick value","Architekt-Gebäude „Sockel"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SPEICHER.tier1.eff","building","Sieg +40 Score je vollendeter Struktur","win +40 score per completed structure","Architekt-Gebäude „Speicherstadt"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SPEICHER.tier2.eff","building","Sieg +60 Score je vollendeter Struktur","win +60 score per completed structure","Architekt-Gebäude „Speicherstadt"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SPEICHER.tier3.eff","building","Sieg +88 Score je vollendeter Struktur","win +88 score per completed structure","Architekt-Gebäude „Speicherstadt"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SPEICHER.tier4.eff","building","Sieg +124 Score je vollendeter Struktur","win +124 score per completed structure","Architekt-Gebäude „Speicherstadt"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_SPIELBANK.legendary.eff","building","Crit-Sieg +500 Score · Sieg ohne Crit −80 Score","crit win +500 score · win without a crit −80 score","Architekt-Gebäude „Spielbank"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_STERNWARTE.legendary.eff","building","Sieg +90 Score je vollendeter Struktur","win +90 score per completed structure","Architekt-Gebäude „Sternwarte"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_STUETZE.tier1.eff","building","alle Abgedeckten +1 Stichwert","all covered cards +1 trick value","Architekt-Gebäude „Stützbalken"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_STUETZE.tier2.eff","building","alle Abgedeckten +2 Stichwert","all covered cards +2 trick value","Architekt-Gebäude „Stützbalken"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_STUETZE.tier4.eff","building","alle Abgedeckten +3 Stichwert","all covered cards +3 trick value","Architekt-Gebäude „Stützbalken"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_VORWERK.tier1.eff","building","frühe Segmente +70 Score","early segments +70 score","Architekt-Gebäude „Vorwerk"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_VORWERK.tier2.eff","building","frühe Segmente +105 Score","early segments +105 score","Architekt-Gebäude „Vorwerk"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_VORWERK.tier3.eff","building","frühe Segmente +154 Score","early segments +154 score","Architekt-Gebäude „Vorwerk"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_VORWERK.tier4.eff","building","frühe Segmente +217 Score","early segments +217 score","Architekt-Gebäude „Vorwerk"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_WEHRGANG.tier1.eff","building","frühe Segmente +2 Stichwert","early segments +2 trick value","Architekt-Gebäude „Wehrgang"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_WEHRGANG.tier2.eff","building","frühe Segmente +3 Stichwert","early segments +3 trick value","Architekt-Gebäude „Wehrgang"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_WEHRGANG.tier3.eff","building","frühe Segmente +4 Stichwert","early segments +4 trick value","Architekt-Gebäude „Wehrgang"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_WEHRGANG.tier4.eff","building","frühe Segmente +6 Stichwert","early segments +6 trick value","Architekt-Gebäude „Wehrgang"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_WETTHALLE.tier1.eff","building","Crit-Sieg +260 Score · Sieg ohne Crit −60 Score","crit win +260 score · win without a crit −60 score","Architekt-Gebäude „Wetthalle"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_WETTHALLE.tier2.eff","building","Crit-Sieg +390 Score · Sieg ohne Crit −60 Score","crit win +390 score · win without a crit −60 score","Architekt-Gebäude „Wetthalle"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_WETTHALLE.tier3.eff","building","Crit-Sieg +572 Score · Sieg ohne Crit −60 Score","crit win +572 score · win without a crit −60 score","Architekt-Gebäude „Wetthalle"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_WETTHALLE.tier4.eff","building","Crit-Sieg +806 Score · Sieg ohne Crit −60 Score","crit win +806 score · win without a crit −60 score","Architekt-Gebäude „Wetthalle"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZINNE.tier1.eff","building","Crit-Sieg +80 Score","crit win +80 score","Architekt-Gebäude „Zinne"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZINNE.tier2.eff","building","Crit-Sieg +120 Score","crit win +120 score","Architekt-Gebäude „Zinne"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZINNE.tier3.eff","building","Crit-Sieg +176 Score","crit win +176 score","Architekt-Gebäude „Zinne"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZINNE.tier4.eff","building","Crit-Sieg +248 Score","crit win +248 score","Architekt-Gebäude „Zinne"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZOLLHAUS.tier1.eff","building","Sieg +35 Score (Stufe IV: zusätzlich ×1,15 Score)","win +35 score (tier IV: ×1.15 score on top)","Architekt-Gebäude „Zollhaus"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZOLLHAUS.tier2.eff","building","Sieg +53 Score (Stufe IV: zusätzlich ×1,15 Score)","win +53 score (tier IV: ×1.15 score on top)","Architekt-Gebäude „Zollhaus"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZOLLHAUS.tier3.eff","building","Sieg +77 Score (Stufe IV: zusätzlich ×1,15 Score)","win +77 score (tier IV: ×1.15 score on top)","Architekt-Gebäude „Zollhaus"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZOLLHAUS.tier4.eff","building","Sieg +109 Score · zusätzlich ×1,15 Score","win +109 score · ×1.15 score on top","Architekt-Gebäude „Zollhaus"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTHAUS.tier1.eff","building","passende Farbe +130 Score","matching suit +130 score","Architekt-Gebäude „Zunfthaus"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTHAUS.tier2.eff","building","passende Farbe +195 Score","matching suit +195 score","Architekt-Gebäude „Zunfthaus"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTHAUS.tier3.eff","building","passende Farbe +286 Score","matching suit +286 score","Architekt-Gebäude „Zunfthaus"" — Effekt Stufe III","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTHAUS.tier4.eff","building","passende Farbe +403 Score","matching suit +403 score","Architekt-Gebäude „Zunfthaus"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTV.tier1.eff","building","+1 Stichwert je Nachbargebäude (max 3)","+1 trick value per adjacent building (max 3)","Architekt-Gebäude „Zunftviertel"" — Effekt Stufe I","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTV.tier2.eff","building","+2 Stichwert je Nachbargebäude (max 3)","+2 trick value per adjacent building (max 3)","Architekt-Gebäude „Zunftviertel"" — Effekt Stufe II","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZUNFTV.tier4.eff","building","+3 Stichwert je Nachbargebäude (max 3)","+3 trick value per adjacent building (max 3)","Architekt-Gebäude „Zunftviertel"" — Effekt Stufe IV","","done","erzeugt aus src/i18n/buildingText.js"
"building.A_ZWINGER.legendary.eff","building","+2 Stichwert je Nachbargebäude (max 5)","+2 trick value per adjacent building (max 5)","Architekt-Gebäude „Zwinger"" — Effekt (legendär)","","done","erzeugt aus src/i18n/buildingText.js"
"ability.SK_FIRE_01.desc","i18n","Siege mit Kampfwert-Vorsprung geben +50 % mehr Hitze (Hitzegewinn ×1,5).","Wins with a margin give +50% more heat (heat gain ×1.5).","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_01.name","i18n","Glut","Ember","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_02.desc","i18n","Jeder Sieg gibt +2 % Hitze — auch bei knappem Vorsprung.","Every win gives +2% heat — even on a narrow margin.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_02.name","i18n","Zunder","Tinder","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_03.desc","i18n","Jeder Sieg in Folge gibt +1 % mehr Hitze (bis +5 %); eine Niederlage setzt zurück.","Every win in a row gives +1% more heat (up to +5%); a loss resets it.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_03.name","i18n","Feuersturm","Firestorm","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_04.desc","i18n","Niederlagen kosten nur 50 % der Hitze; unter 30 % Hitze gar keine.","Losses cost only 50% of the heat; below 30% heat, nothing at all.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_04.name","i18n","Glutbett","Ember Bed","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_05.desc","i18n","Nach einer Niederlage gibt der nächste Sieg +1 % Hitze je Punkt Wert-Rückstand und der Siegkarte +2 Stichwert.","After a loss, the next win gives +1% heat per point of value deficit and gives the winning card +2 trick value.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_05.name","i18n","Rückzündung","Reignition","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_06.desc","i18n","Alle deine Karten bekommen Stichwert nach Hitze: +1 ab 40 %, +2 ab 70 %, +3 bei 100 %. Für +2 und +3 braucht es zusätzlich einen Sieg mit 8 bzw. 12 Kampfwert-Vorsprung im laufenden Segment.","All your cards gain trick value from heat: +1 from 40%, +2 from 70%, +3 at 100%. For +2 and +3 you also need a win at 8 resp. 12 margin within the current segment.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_06.name","i18n","Glühende Klinge","Glowing Blade","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_07.desc","i18n","Hitze über 100 % staut sich als Überhitzung auf, bis 150 %. Je höher sie steht, desto weniger vom Überschuss kommt an. Jeder Punkt gibt +2 % auf deinen Feuer-Score; je Stich baut sie 2 Punkte ab, bei einer Niederlage 5.","Heat above 100% banks as overheat, up to 150%. The higher it stands, the less of the excess arrives. Every point gives +2% on your fire score; it decays by 2 points per trick, 5 on a loss.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_07.name","i18n","Weißglut","White Heat","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_08.desc","i18n","Ab 40 % Hitze gibt jeder Sieg in Folge der nächsten Karte +1 Stichwert (steigend bis +3); eine Niederlage setzt zurück.","From 40% heat, every win in a row gives the next card +1 trick value (rising to +3); a loss resets it.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_08.name","i18n","Feuerwalze","Fire Roll","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_09.desc","i18n","Großer Kampfwert-Vorsprung gibt mehr Feuer-Score: ×1,5 ab 8, ×2 ab 12 Vorsprung.","A large margin gives more fire score: ×1.5 from 8, ×2 from 12 margin.","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
"ability.SK_FIRE_09.name","i18n","Verbrennung","Combustion","i18n-Katalog (src/i18n) — über t() aufgelöst","","done",""
